metric,value
source.total,5000
source.freihand.count,5000
source.freihand.pct,100.0
source.mode,solo_freihand
hand_scale.count,5000
hand_scale.mean,0.02852
hand_scale.std,0.00381
hand_scale.min,0.01595
hand_scale.max,0.03636
occlusion.samples_with_bbox,0
hands_detected.samples,0
image_metrics.sampled_images,3000
lighting.mean_brightness,118.031
lighting.low_brightness_pct,0.93
lighting.strong_shadows_pct,8.0
lighting.highlights_pct,8.53
lighting.low_contrast_pct,33.07
lighting.cool_temperature_pct,0.23
lighting.warm_temperature_pct,94.33
lighting.backlight_proxy_pct,0.13
background.edge_density_mean,0.0332
background.edge_density_high_pct,0.0
background.laplacian_var_mean,309.51
background.laplacian_var_high_pct,48.63
