idx,archivo,mst_score,r,g,b,hand_scale
6040,00006040.jpg,8,98.59,67.58,74.81,0.028100029650709187
17340,00017340.jpg,8,113.79,87.62,84.85,0.027360164034202845
27704,00027704.jpg,7,136.53,100.64,103.39,0.02549433821343879
14989,00014989.jpg,4,230.69,189.96,186.89,0.02925819275439046
15484,00015484.jpg,9,55.28,46.19,39.75,0.028169279710994026
9165,00009165.jpg,5,202.48,160.19,153.33,0.02306933511076026
12728,00012728.jpg,5,202.75,162.11,140.09,0.02735038031423074
13035,00013035.jpg,5,229.47,161.2,162.57,0.03326293649449842
5615,00005615.jpg,6,193.45,147.37,128.45,0.02984454058809548
12080,00012080.jpg,4,233.72,181.77,179.91,0.028521012078193884
4474,00004474.jpg,8,95.33,70.15,66.34,0.03283650064975335
4860,00004860.jpg,7,132.69,93.42,97.14,0.02343994264588593
1760,00001760.jpg,5,233.73,173.68,161.76,0.026451510144544957
6173,00006173.jpg,4,243.54,180.0,183.31,0.03272772766723309
32137,00032137.jpg,6,183.81,138.54,141.6,0.028192314285162307
7872,00007872.jpg,6,174.11,103.03,134.94,0.03408982240648573
4360,00004360.jpg,6,195.63,128.55,117.4,0.024831263606713987
21458,00021458.jpg,6,195.46,144.01,135.13,0.0277170656240316
3669,00003669.jpg,9,63.52,52.12,123.4,0.029879409892387236
4995,00004995.jpg,7,132.25,95.74,141.87,0.02759103370507251
18322,00018322.jpg,5,227.38,150.8,165.14,0.025167394540399454
23524,00023524.jpg,8,105.64,70.62,98.35,0.030486922987821886
16989,00016989.jpg,5,226.33,169.12,161.88,0.022360962735586486
8078,00008078.jpg,6,181.93,136.92,133.88,0.03174751130891048
20548,00020548.jpg,8,98.8,68.93,73.32,0.02810033181138893
24830,00024830.jpg,6,163.64,117.3,124.68,0.028002774050002566
13095,00013095.jpg,9,62.7,45.72,45.21,0.02638638151933873
7769,00007769.jpg,5,236.73,170.63,165.64,0.02993738142486131
20546,00020546.jpg,8,111.28,70.61,89.09,0.03221341796479602
9505,00009505.jpg,7,147.0,96.68,90.63,0.030520104341579552
7650,00007650.jpg,6,173.15,129.44,111.22,0.024439353139088814
28425,00028425.jpg,5,219.74,166.85,176.59,0.025678526369147834
27941,00027941.jpg,7,135.34,97.4,104.11,0.03095210045418688
18504,00018504.jpg,9,73.23,63.02,72.96,0.022859683330733165
26032,00026032.jpg,5,211.66,145.74,160.05,0.021830974984719326
26392,00026392.jpg,7,126.41,74.18,97.3,0.027080701876444273
14057,00014057.jpg,6,154.54,133.88,119.8,0.028380462203853263
20499,00020499.jpg,7,162.29,107.97,107.9,0.029779226129391132
3540,00003540.jpg,5,212.39,150.09,147.13,0.02176355929369414
26169,00026169.jpg,8,108.66,79.94,48.81,0.03287535523519528
30206,00030206.jpg,7,145.79,103.02,121.17,0.02943139030737691
9966,00009966.jpg,8,111.81,86.63,84.39,0.027031147746512354
