source,sample_id,image_path,gesture,mst_score,mst_proxy_from_race,mst_proxy_range,race,gender,age,hand_scale,landmark_source
hagrid,79bc84ae-906e-4844-ae66-d58507acd935,datasets/hagrid_dataset/palm/79bc84ae-906e-4844-ae66-d58507acd935.jpg,palm,4.0,5.0,4-6,Indian,male,23.51,,mediapipe_2d
hagrid,27c7cfe9-0396-41f3-9675-d6eea9f0439c,datasets/hagrid_dataset/palm/27c7cfe9-0396-41f3-9675-d6eea9f0439c.jpg,palm,1.0,2.0,1-3,White,female,20.55,,mediapipe_2d
hagrid,09e72d0b-4848-4546-ab4e-06a7cab41d70,datasets/hagrid_dataset/palm/09e72d0b-4848-4546-ab4e-06a7cab41d70.jpg,palm,6.0,2.0,1-3,White,male,26.61,,mediapipe_2d
hagrid,4fb6c849-5727-43f8-a48d-a9f4f295cdf2,datasets/hagrid_dataset/palm/4fb6c849-5727-43f8-a48d-a9f4f295cdf2.jpg,palm,7.0,2.0,1-3,White,female,16.77,,mediapipe_2d
hagrid,6cad7912-be6a-4c4a-8e5e-f7235addf26e,datasets/hagrid_dataset/palm/6cad7912-be6a-4c4a-8e5e-f7235addf26e.jpg,palm,5.0,2.0,1-3,White,female,19.75,,mediapipe_2d
hagrid,adf82234-5cfe-45ff-9d59-f48eb878e767,datasets/hagrid_dataset/palm/adf82234-5cfe-45ff-9d59-f48eb878e767.jpg,palm,7.0,4.0,2-5,Asian,female,17.96,,mediapipe_2d
hagrid,b9904eb3-0b3d-411a-88f5-2d1193239755,datasets/hagrid_dataset/palm/b9904eb3-0b3d-411a-88f5-2d1193239755.jpg,palm,6.0,,,,male,22.46,,mediapipe_2d
hagrid,600ca8dc-7a03-4392-9bed-9f71688778ad,datasets/hagrid_dataset/palm/600ca8dc-7a03-4392-9bed-9f71688778ad.jpg,palm,5.0,8.0,7-10,Black,female,24.59,,mediapipe_2d
hagrid,700a8f45-29c8-4de0-a0fb-88306f7ac2db,datasets/hagrid_dataset/palm/700a8f45-29c8-4de0-a0fb-88306f7ac2db.jpg,palm,6.0,2.0,1-3,White,female,14.84,,mediapipe_2d
hagrid,2681d2c1-67c1-436b-903f-20097e6eeebb,datasets/hagrid_dataset/palm/2681d2c1-67c1-436b-903f-20097e6eeebb.jpg,palm,5.0,5.0,4-6,Indian,male,28.0,,mediapipe_2d
hagrid,c75db095-7fcb-4899-badc-38d6b4968d1a,datasets/hagrid_dataset/palm/c75db095-7fcb-4899-badc-38d6b4968d1a.jpg,palm,7.0,2.0,1-3,White,male,28.83,,mediapipe_2d
hagrid,5438b587-3cd6-4cf0-9c08-a9669dedd97b,datasets/hagrid_dataset/palm/5438b587-3cd6-4cf0-9c08-a9669dedd97b.jpg,palm,7.0,8.0,7-10,Black,male,23.65,,mediapipe_2d
hagrid,dd898115-666a-4585-9fd4-2076f3bf1f64,datasets/hagrid_dataset/palm/dd898115-666a-4585-9fd4-2076f3bf1f64.jpg,palm,7.0,2.0,1-3,White,male,22.39,,mediapipe_2d
hagrid,ae87a699-71e1-4c31-bcad-49f37832359e,datasets/hagrid_dataset/palm/ae87a699-71e1-4c31-bcad-49f37832359e.jpg,palm,5.0,4.0,2-5,Asian,male,22.89,,mediapipe_2d
hagrid,59a87a0f-41f5-4db3-89a0-7d7c8b954f02,datasets/hagrid_dataset/palm/59a87a0f-41f5-4db3-89a0-7d7c8b954f02.jpg,palm,7.0,2.0,1-3,White,female,13.21,,mediapipe_2d
hagrid,6a2272f2-6e6a-483a-9951-f89c518e259f,datasets/hagrid_dataset/palm/6a2272f2-6e6a-483a-9951-f89c518e259f.jpg,palm,5.0,2.0,1-3,White,female,23.44,,mediapipe_2d
hagrid,d7ac723f-8a75-4c4a-85bb-729b979a4035,datasets/hagrid_dataset/palm/d7ac723f-8a75-4c4a-85bb-729b979a4035.jpg,palm,9.0,2.0,1-3,White,female,22.99,,mediapipe_2d
hagrid,d8be7ac0-b4a5-4a87-a969-b08952bb5672,datasets/hagrid_dataset/palm/d8be7ac0-b4a5-4a87-a969-b08952bb5672.jpg,palm,7.0,2.0,1-3,White,female,18.85,,mediapipe_2d
hagrid,b3e51ed7-6ce3-4fed-af01-28a82f55cd34,datasets/hagrid_dataset/palm/b3e51ed7-6ce3-4fed-af01-28a82f55cd34.jpg,palm,4.0,2.0,1-3,White,male,22.8,,mediapipe_2d
hagrid,13714e4a-d9c3-4da8-b563-f0764dc65247,datasets/hagrid_dataset/palm/13714e4a-d9c3-4da8-b563-f0764dc65247.jpg,palm,4.0,2.0,1-3,White,female,19.41,,mediapipe_2d
hagrid,3e1acf89-93bd-4cff-91c7-8cd9595f5ffa,datasets/hagrid_dataset/palm/3e1acf89-93bd-4cff-91c7-8cd9595f5ffa.jpg,palm,8.0,2.0,1-3,White,female,38.65,,mediapipe_2d
hagrid,93084d3e-741b-4c91-80ee-a847981add04,datasets/hagrid_dataset/palm/93084d3e-741b-4c91-80ee-a847981add04.jpg,palm,5.0,2.0,1-3,White,male,23.05,,mediapipe_2d
hagrid,7dea7051-d3b8-4f6e-89bc-098f910ff5a8,datasets/hagrid_dataset/palm/7dea7051-d3b8-4f6e-89bc-098f910ff5a8.jpg,palm,8.0,2.0,1-3,White,female,39.89,,mediapipe_2d
hagrid,9dbc7ea9-3029-4b34-a4ed-8199c2a71d35,datasets/hagrid_dataset/palm/9dbc7ea9-3029-4b34-a4ed-8199c2a71d35.jpg,palm,7.0,2.0,1-3,White,male,14.33,,mediapipe_2d
hagrid,5a82ee06-e39c-4fe4-9f21-4e7b44f80a33,datasets/hagrid_dataset/palm/5a82ee06-e39c-4fe4-9f21-4e7b44f80a33.jpg,palm,6.0,2.0,1-3,White,male,46.16,,mediapipe_2d
hagrid,026c1813-c848-4544-bf75-89ea11656e6a,datasets/hagrid_dataset/palm/026c1813-c848-4544-bf75-89ea11656e6a.jpg,palm,6.0,2.0,1-3,White,male,21.31,,mediapipe_2d
hagrid,f0b8b234-e360-4c60-83cf-03e7719d0a1d,datasets/hagrid_dataset/palm/f0b8b234-e360-4c60-83cf-03e7719d0a1d.jpg,palm,5.0,2.0,1-3,White,female,24.02,,mediapipe_2d
hagrid,aba27179-0adc-4881-b5d7-31c9c764ec99,datasets/hagrid_dataset/palm/aba27179-0adc-4881-b5d7-31c9c764ec99.jpg,palm,4.0,2.0,1-3,White,female,16.65,,mediapipe_2d
hagrid,df21f30d-723d-4228-a6fe-1c3b0e63cb36,datasets/hagrid_dataset/palm/df21f30d-723d-4228-a6fe-1c3b0e63cb36.jpg,palm,6.0,2.0,1-3,White,male,14.33,,mediapipe_2d
hagrid,118e69bd-9b2d-41a5-9881-188ff5f26b4c,datasets/hagrid_dataset/palm/118e69bd-9b2d-41a5-9881-188ff5f26b4c.jpg,palm,8.0,8.0,7-10,Black,male,32.08,,mediapipe_2d
hagrid,133edb69-674d-4cd0-9082-00d40014d758,datasets/hagrid_dataset/palm/133edb69-674d-4cd0-9082-00d40014d758.jpg,palm,5.0,2.0,1-3,White,female,36.49,,mediapipe_2d
hagrid,9578e8d7-7dd3-45e4-88b7-0fd297c06eb3,datasets/hagrid_dataset/palm/9578e8d7-7dd3-45e4-88b7-0fd297c06eb3.jpg,palm,6.0,2.0,1-3,White,male,20.23,,mediapipe_2d
hagrid,528a820b-32e2-4b61-a7f5-661f557979c8,datasets/hagrid_dataset/palm/528a820b-32e2-4b61-a7f5-661f557979c8.jpg,palm,5.0,2.0,1-3,White,male,19.5,,mediapipe_2d
hagrid,7850947d-6366-4f01-a5fc-0617f12e3689,datasets/hagrid_dataset/palm/7850947d-6366-4f01-a5fc-0617f12e3689.jpg,palm,6.0,2.0,1-3,White,male,32.44,,mediapipe_2d
hagrid,eec7239e-4ccd-45ea-972e-33e5778e9de8,datasets/hagrid_dataset/palm/eec7239e-4ccd-45ea-972e-33e5778e9de8.jpg,palm,5.0,2.0,1-3,White,female,22.71,,mediapipe_2d
hagrid,bb3b8c4d-26f0-4b9f-a730-bd1dfebf3e23,datasets/hagrid_dataset/palm/bb3b8c4d-26f0-4b9f-a730-bd1dfebf3e23.jpg,palm,6.0,2.0,1-3,White,female,13.0,,mediapipe_2d
hagrid,eb8f6547-9ce8-4067-8cd0-6ea94f57f3e4,datasets/hagrid_dataset/palm/eb8f6547-9ce8-4067-8cd0-6ea94f57f3e4.jpg,palm,7.0,2.0,1-3,White,female,30.83,,mediapipe_2d
hagrid,e5dcc5bd-9a08-4699-bdec-767305765458,datasets/hagrid_dataset/palm/e5dcc5bd-9a08-4699-bdec-767305765458.jpg,palm,6.0,5.0,4-6,Indian,male,32.72,,mediapipe_2d
hagrid,3e7b50b3-b61c-47b2-8bbc-3566a193ac5b,datasets/hagrid_dataset/palm/3e7b50b3-b61c-47b2-8bbc-3566a193ac5b.jpg,palm,6.0,8.0,7-10,Black,female,35.66,,mediapipe_2d
